333.6904	26.85238
333.6986	26.85238
333.7069	27.34627
333.7151	27.87782
333.7234	29.32644
333.7316	29.19692
333.7398	29.33602
333.7481	28.26722
333.7563	27.00106
333.7646	27.44532
333.7728	28.97391
333.781	30.34135
333.7893	32.57475
333.7975	35.98835
333.8058	38.67521
333.814	38.70431
333.8222	38.55496
333.8305	38.59392
333.8387	38.66288
333.847	38.61971
333.8552	37.21758
333.8634	35.6305
333.8717	34.18074
333.8799	32.70499
333.8882	31.22555
333.8964	29.52316
333.9046	29.22034
333.9129	28.76373
333.9211	27.18671
333.9294	27.14621
333.9376	28.59256
333.9458	29.70744
333.9541	32.29842
333.9623	36.84202
333.9706	38.3631
333.9788	39.88582
333.987	40.38017
333.9953	37.67958
334.0035	33.09047
334.0117	30.0017
334.02	27.0658
334.0282	24.466
334.0365	23.5212
334.0447	23.60828
334.0529	22.16776
334.0612	21.45504
334.0694	21.71906
334.0777	21.64459
334.0859	21.61941
334.0941	21.86094
334.1024	20.84814
334.1106	19.59851
334.1189	19.77974
334.1271	19.80305
334.1353	19.72077
334.1436	19.89611
334.1518	19.57205
334.1601	17.97642
334.1683	16.39112
334.1765	15.55131
334.1848	16.99778
334.193	20.21666
334.2013	23.11513
334.2095	27.44868
334.2177	31.45656
334.226	33.30965
334.2342	32.85494
334.2425	31.28463
334.2507	30.87622
334.2589	31.32582
334.2672	30.65926
334.2754	29.18845
334.2837	30.49813
334.2919	32.46337
334.3001	32.94842
334.3084	33.15824
334.3166	34.76109
334.3249	35.09751
334.3331	33.93472
334.3413	32.34687
334.3496	30.86618
334.3578	29.35578
334.3661	28.1432
334.3743	25.38004
334.3825	23.23783
334.3908	23.54893
334.399	23.42525
334.4073	24.76114
334.4155	25.58747
334.4237	25.46086
334.432	25.43025
334.4402	23.87502
334.4485	23.42497
334.4567	23.43868
334.4649	23.76483
334.4732	25.35816
334.4814	25.35596
334.4897	26.31945
334.4979	27.60172
334.5061	27.19425
334.5144	25.7198
334.5226	23.20919
334.5309	18.92103
334.5391	15.13626
334.5473	14.11006
334.5556	14.09447
334.5638	14.18044
334.5721	13.99083
334.5803	14.36325
334.5885	15.97006
334.5968	17.47767
334.605	18.9499
334.6133	20.40664
334.6215	21.95528
334.6297	23.46148
334.638	23.64627
334.6462	23.44671
334.6544	23.67883
334.6627	23.42196
334.6709	21.8155
334.6792	21.67967
334.6874	21.01403
334.6956	19.28057
334.7039	17.84089
334.7121	16.31295
334.7204	15.5119
334.7286	17.35597
334.7368	20.279
334.7451	21.60416
334.7533	23.24902
334.7616	23.49415
334.7698	24.01541
334.778	22.86665
334.7863	16.54313
334.7945	14.25684
334.8028	13.71331
334.811	15.22356
334.8192	20.24836
334.8275	24.8268
334.8357	27.08962
334.844	27.12334
334.8522	27.81143
334.8604	27.20485
334.8687	17.99042
334.8769	13.86765
334.8852	14.28431
334.8934	14.04109
334.9016	14.08214
334.9099	15.51774
334.9181	16.81941
334.9264	19.16462
334.9346	21.86278
334.9428	21.72491
334.9511	21.56557
334.9593	21.79171
334.9676	21.36917
334.9758	19.58549
334.984	16.63653
334.9923	13.4554
335.0005	11.1904
335.0088	10.18678
335.017	10.36123
335.0252	11.81575
335.0335	13.28541
335.0417	15.13259
335.05	18.87691
335.0582	23.38116
335.0664	23.66032
335.0747	24.26411
335.0829	26.09706
335.0912	27.49314
335.0994	28.98071
335.1076	30.49046
335.1159	31.91092
335.1241	33.55018
335.1324	34.87061
335.1406	34.7873
335.1488	35.80849
335.1571	37.73729
335.1653	38.63814
335.1736	38.60037
335.1818	40.17377
335.19	40.46644
335.1983	41.0687
335.2065	42.51955
335.2148	43.93492
335.223	49.90622
335.2312	53.28015
335.2395	54.181
335.2477	55.65326
335.256	55.60971
335.2642	55.46017
335.2724	55.76693
335.2807	55.1109
335.2889	53.64825
335.2971	53.81715
335.3054	51.77217
335.3136	48.03576
335.3219	49.28726
335.3301	57.28781
335.3383	60.94215
335.3466	61.32336
335.3548	61.14486
335.3631	61.24786
335.3713	61.26062
335.3795	60.0064
335.3878	58.1329
335.396	57.42157
335.4043	57.33886
335.4125	55.72861
335.4207	55.56598
335.429	54.93313
335.4372	53.15945
335.4455	51.74722
335.4537	50.35795
